"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"1185","CC2D2B",1,2,0,0,2,0,1,2,0
"1186","DTHD1",4,0,1,0,5,1,0,0,0
"1187","GADL1",1,0,0,0,0,0,0,0,0
"1188","MAP4K3",1,2,2,5,1,0,3,3,0
"1189","MIR222HG",2,2,2,2,2,0,3,2,0
"1190","PDE9A",1,0,2,2,2,0,0,1,0
"1191","PRKACB",2,2,1,2,4,1,7,0,0
"1192","SLC16A10",1,3,0,0,0,0,4,1,0
"1193","TSPAN2",1,1,1,0,0,0,1,0,0
"1194","VIM",4,6,7,7,2,0,8,5,0
"1195","ZC3H12C",2,0,1,2,1,5,2,3,0
"1196","ARHGEF3",4,8,4,3,4,5,3,4,0
"1197","CCDC7",3,2,1,3,3,2,5,2,0
"1198","CRIM1",1,1,2,0,2,0,0,0,0
"1199","FKBP5",3,3,1,2,1,0,2,0,0
"1200","HCG17",3,4,2,0,3,0,1,3,0
"1201","IFI44",1,0,0,0,0,0,0,0,0
"1202","MGARP",1,0,0,0,0,0,1,0,0
"1203","NLK",1,0,2,2,2,3,1,1,0
"1204","PLCB1",1,0,4,2,5,0,1,1,0
"1205","RHOQ",3,3,3,3,3,0,1,1,0
"1206","SPRY1",1,2,2,1,3,0,3,1,0
"1207","ST6GALNAC3",1,2,1,0,0,4,1,8,0
"1208","TMEM260",2,1,3,5,2,5,8,3,0
"1209","DUSP5",3,3,7,7,5,3,1,0,0
"1210","G0S2",2,0,0,0,1,0,2,0,0
"1211","INSIG1",2,4,3,4,2,2,5,1,0
"1212","CDKN1C",1,2,0,0,0,0,0,3,0
"1213","GAB2",2,6,4,3,5,6,6,3,0
"1214","NDC80",1,0,1,0,0,0,0,0,0
"1215","PTPRG",1,0,0,0,0,0,1,1,0
"1216","QKI",1,2,3,2,5,2,2,0,0
"1217","SIK2",1,0,2,3,3,0,2,2,0
"1218","ZFAND3",1,3,2,6,1,4,1,1,0
"1219","ANO10",2,1,2,2,1,0,2,3,0
"1220","CSF2RB",1,0,0,1,0,0,0,1,0
"1221","FCHO2",1,2,0,0,0,0,1,0,0
"1222","SMIM14",1,1,1,2,1,0,2,1,0
"1223","DNAJC12",2,3,3,1,2,2,3,0,0
"1224","FDPS",2,8,2,3,4,3,2,2,1
"1225","HSP90AA1",3,1,3,5,3,4,5,1,0
"1226","LINC01163",1,0,1,1,5,0,2,2,0
"1227","LINC01471",1,1,0,0,0,0,0,0,0
"1228","NUGGC",2,0,1,0,1,0,0,0,0
"1229","HEATR5A",1,5,5,1,4,7,4,4,0
"1230","HIST3H2A",1,4,4,2,3,0,2,0,0
"1231","SLC14A1",3,0,1,1,2,4,5,3,0
"1232","TBC1D5",6,5,2,3,5,5,7,6,0
"1233","TBC1D8",3,0,4,2,0,0,2,5,0
"1234","CTSL",1,1,2,3,2,0,4,0,0
"1235","HPGD",1,0,5,2,2,0,0,1,0
"1236","KLRC2",4,0,1,0,4,0,1,0,0
"1237","RGS1",2,5,6,6,1,0,4,3,0
"1238","SUPT3H",5,4,4,2,5,3,5,6,0
"1239","UBE3D",2,2,3,1,2,0,3,0,0
"1240","WDR70",2,2,3,3,2,5,3,2,0
"1241","AK5",1,2,0,0,0,0,1,0,0
"1242","CDCP1",1,1,1,0,0,0,0,0,0
"1243","CFAP44",2,0,0,2,1,0,3,0,0
"1244","IL13",2,0,0,0,3,0,4,0,0
"1245","LINC00271",4,3,0,0,3,0,0,2,0
"1246","SEMA3A",1,0,0,0,0,0,0,0,0
"1247","ACTG1",2,2,3,6,2,0,4,1,1
"1248","DOCK3",2,5,4,5,3,1,5,1,0
"1249","KIF2A",3,2,6,7,2,3,9,4,0
"1250","LY9",2,2,2,1,2,0,1,1,0
"1251","PARP15",4,3,2,6,1,3,2,2,0
"1252","ABCD2",2,2,2,1,3,3,1,4,0
"1253","GBE1",2,5,3,2,3,0,5,2,0
"1254","GPER1",1,0,0,0,0,0,0,0,0
"1255","ITGA6",1,2,0,1,1,0,2,0,0
"1256","NUSAP1",1,1,2,3,2,0,1,0,0
"1257","PIK3AP1",2,0,0,1,5,0,1,2,0
"1258","STXBP5",4,3,4,2,3,3,3,0,0
"1259","TULP3",1,2,2,3,1,0,4,1,0
"1260","ARHGAP32",2,1,1,3,1,0,2,4,0
"1261","FGD6",1,1,0,2,1,0,2,0,0
"1262","KIAA1217",2,1,2,0,1,0,0,0,0
"1263","PRF1",2,3,4,0,3,0,1,1,0
"1264","PRPF3",3,2,4,3,3,0,5,5,0
"1265","SVIL",1,2,0,3,2,0,2,1,0
"1266","TMEFF1",2,1,0,1,0,0,1,0,0
"1267","AUTS2",1,2,2,2,5,0,0,2,0
"1268","MYO3B",1,0,0,0,0,0,0,0,0
"1269","PARD6G",2,0,1,1,1,0,1,0,0
"1270","PCCA",2,2,5,6,3,0,2,3,0
"1271","PSAT1",1,2,1,0,2,3,3,0,0
"1272","SAMD9",2,3,3,3,2,3,7,3,0
"1273","SLC41A2",2,5,7,8,4,5,7,0,2
"1274","TNFRSF18",2,5,4,3,2,4,6,3,0
"1275","TRIM38",2,3,3,4,1,3,4,1,0
"1276","ADCY9",2,3,1,0,1,0,2,3,0
"1277","CCDC50",4,2,2,2,4,0,4,0,0
"1278","DISC1",2,3,2,1,2,2,1,1,0
"1279","HHAT",1,4,2,2,0,0,1,1,0
"1280","MTRNR2L8",2,0,5,2,1,0,2,0,0
"1281","PYHIN1",2,0,2,1,0,0,3,0,0
"1282","ATR",2,4,4,1,6,4,4,3,0
"1283","GLYCTK-AS1",1,0,0,1,2,0,0,0,0
"1284","HSPA1B",3,4,7,1,3,5,2,2,0
"1285","RPL28",1,4,3,4,6,5,4,4,1
"1286","BCKDHB",1,1,1,1,3,0,1,1,0
"1287","CLVS1",1,0,0,0,0,0,0,1,0
"1288","ENOX1",1,1,0,0,0,0,2,0,0
"1289","ENOX2",2,1,1,0,0,0,0,0,0
"1290","KCTD16",1,2,0,2,1,0,3,0,0
"1291","MIR4435-2HG",3,2,3,4,4,0,5,4,0
"1292","NEK1",3,7,2,3,3,4,7,3,0
"1293","PITPNC1",3,8,5,5,8,4,6,3,0
"1294","CIB3",1,0,0,0,0,0,0,0,0
"1295","CRY1",1,5,5,4,2,4,2,1,0
"1296","TYW1B",1,6,3,3,3,0,4,1,0
"1297","CBLB",3,7,7,5,1,4,4,4,0
"1298","FAR2",2,2,0,3,3,0,0,3,0
"1299","IPCEF1",3,5,2,2,0,4,2,2,0
"1300","KIF4A",1,0,0,0,0,0,3,0,0
"1301","PTPN13",1,0,4,2,2,0,1,0,0
"1302","SBF2",2,3,2,4,3,1,1,0,0
"1303","SLAMF7",3,0,0,0,2,0,0,1,0
"1304","CLEC2D",3,3,4,2,4,1,3,4,0
"1305","TBC1D19",2,0,1,1,1,0,0,1,0
"1306","ANXA1",2,8,6,4,5,0,4,1,0
"1307","DGKI",1,1,1,1,0,0,1,0,0
"1308","MAFTRR",1,2,4,2,1,0,0,0,0
"1309","PUS7",1,2,0,0,1,0,1,0,0
"1310","RPL13",3,3,0,2,5,3,2,4,0
"1311","ST5",1,0,2,1,1,0,0,0,0
"1312","PLEKHH2",0,0,1,0,1,0,0,0,0
"1313","FLT1",0,2,1,0,2,0,3,1,0
"1314","IL1R1",0,0,2,2,1,5,8,1,0
"1315","TIAM1",1,7,3,3,2,0,3,3,0
"1316","RNF170",1,3,2,2,0,3,5,3,0
"1317","MCF2L2",0,3,2,4,3,5,1,2,1
"1318","ANKRD6",2,2,2,2,1,3,2,1,0
"1319","BORA",1,2,3,3,1,0,4,0,0
"1320","LINC00402",1,0,1,0,0,0,0,0,0
"1321","LINC01278",1,0,0,0,0,0,0,0,0
"1322","NEDD9",3,4,5,4,4,7,5,7,0
"1323","PCBP3",1,4,3,2,3,2,2,4,0
"1324","RAB28",1,6,5,4,2,2,2,1,0
"1325","RHEB",2,3,1,2,3,1,4,1,0
"1326","TSC22D1",3,5,2,2,2,0,5,1,0
"1327","ANKRD22",1,1,3,0,1,1,1,0,0
"1328","CLIC5",2,2,3,4,6,5,1,2,0
"1329","KANK1",1,2,0,2,0,0,1,1,0
"1330","WRN",1,1,0,2,0,0,1,0,0
"1331","AGO4",1,3,4,3,3,0,3,0,0
"1332","CCNB2",3,2,0,0,0,1,3,3,1
"1333","CDKN3",1,1,3,1,1,0,2,1,0
"1334","RPL13A",1,1,1,3,7,5,5,4,1
"1335","C15orf41",1,0,1,1,0,0,1,0,0
"1336","SLC52A1",1,2,0,5,0,0,0,1,0
"1337","ACSS2",1,3,4,3,2,0,4,0,0
"1338","DOCK4",1,0,0,1,0,0,1,0,0
"1339","JAKMIP2",1,3,0,1,1,0,1,1,0
"1340","SPIDR",1,2,0,2,4,0,2,4,0
"1341","C21orf58",3,0,1,1,1,1,3,3,1
"1342","CDK8",1,5,3,1,7,0,2,0,0
"1343","EVA1C",1,1,1,3,1,0,1,1,0
"1344","FARS2",3,2,2,7,4,4,1,3,0
"1345","HIP1",1,1,2,4,3,0,2,0,0
"1346","RPS27",2,1,2,6,2,1,3,7,1
"1347","UBTD2",1,2,1,3,1,0,0,3,0
"1348","ABCC4",2,3,3,1,2,3,2,1,0
"1349","ARHGEF28",2,0,0,0,1,0,0,0,0
"1350","PRC1",1,1,1,1,2,2,2,0,0
"1351","SETBP1",1,5,0,0,1,0,1,2,0
"1352","TPRG1",1,1,2,3,4,0,2,1,0
"1353","KCNIP4",1,1,0,0,0,0,0,0,0
"1354","MAPK8",1,2,4,3,2,0,2,3,0
"1355","RFWD3",1,2,4,1,3,2,1,1,0
"1356","WARS",2,4,2,1,0,0,4,1,0
"1357","XCL2",1,0,0,0,1,0,4,2,0
"1358","CACNA1A",0,2,3,0,0,0,2,0,0
"1359","MCTP1",0,1,0,0,0,0,2,1,0
"1360","PDGFB",0,0,0,1,0,0,1,3,0
"1361","ELMO1",3,5,8,5,4,5,8,7,0
"1362","MT1X",1,0,0,0,0,0,2,0,0
"1363","BAG3",1,1,3,3,1,2,1,1,0
"1364","CASC19",1,0,0,0,0,0,0,0,0
"1365","LRRC69",1,1,2,0,1,0,0,1,0
"1366","MELK",2,3,1,1,2,2,2,1,2
"1367","NCALD",2,1,2,0,2,0,3,1,0
"1368","PHLDA1",1,3,2,3,5,4,4,1,2
"1369","PKHD1L1",1,0,0,0,0,0,0,0,0
"1370","SIPA1L3",1,4,1,1,2,0,2,3,0
"1371","LIF",1,3,1,1,1,4,1,2,0
"1372","TRBV11-2",1,0,0,0,0,0,0,0,0
"1373","APLF",1,4,1,4,0,0,3,0,0
"1374","GPSM2",1,1,2,0,1,0,0,0,0
"1375","LRP6",1,1,0,0,1,0,0,0,0
"1376","SLA",1,3,4,4,1,0,1,2,0
"1377","UBE2QL1",1,0,0,0,0,0,0,0,0
"1378","C22orf34",1,2,1,1,1,0,5,2,0
"1379","DTWD2",1,4,2,1,1,0,2,1,0
"1380","HBEGF",1,1,0,1,1,0,0,0,0
"1381","LINC01135",1,1,3,2,3,0,0,3,0
"1382","RYBP",1,5,4,6,7,4,2,1,0
"1383","SLC20A1",1,4,3,5,3,4,5,1,0
"1384","CEP128",3,4,2,1,1,0,2,5,0
"1385","SULT2B1",1,2,0,0,2,0,1,1,0
"1386","CYB5D2",1,3,5,3,0,0,2,1,0
"1387","HLA-DPA1",1,2,3,0,1,0,2,1,0
"1388","MIR181A1HG",1,4,2,4,1,0,2,3,0
"1389","AURKA",1,2,0,1,1,1,2,1,0
"1390","CTNNA3",1,3,3,3,3,0,1,0,0
"1391","HELZ",1,3,5,5,6,2,4,1,0
"1392","HIST2H2AA4",1,1,3,1,0,2,4,0,0
"1393","LINC01146",1,0,2,2,0,0,4,1,0
"1394","PFKFB4",1,5,2,0,2,3,0,1,1
"1395","HIBADH",2,2,3,4,3,0,3,1,0
"1396","HILPDA",1,3,2,1,4,0,2,4,1
"1397","NECTIN3",1,2,5,6,1,0,0,0,0
"1398","CCNF",1,3,1,2,3,2,1,1,2
"1399","CEP55",1,2,0,3,4,2,2,3,1
"1400","EPB41L2",1,5,2,3,2,2,3,2,0
"1401","NEK2",1,2,1,0,1,2,1,1,1
"1402","PLXND1",1,0,1,0,1,0,0,1,0
"1403","PPP1R36",1,0,0,1,0,0,0,3,0
"1404","RAD51AP1",1,2,1,1,3,1,2,0,1
"1405","LINC00278",1,3,2,1,1,5,6,3,0
"1406","RFX3-AS1",1,3,2,2,1,1,3,1,0
"1407","CRTAM",1,0,1,0,4,0,0,1,0
"1408","TTBK2",1,4,1,2,3,4,5,1,0
"1409","PRKCQ-AS1",1,5,4,6,1,0,6,1,0
"1410","FAM160A1",1,2,4,3,0,0,1,1,0
"1411","GNG7",1,2,3,1,1,0,0,1,0
"1412","HIST1H1A",1,3,1,2,1,0,1,0,0
"1413","PTGR1",0,1,0,1,0,0,2,1,0
"1414","TBC1D9",1,0,0,0,0,0,0,0,0
"1415","FMNL2",0,1,4,3,0,0,1,0,0
"1416","CREB5",0,49,0,50,0,0,47,31,0
"1417","DACH1",0,24,22,0,0,0,0,41,0
"1418","FOSL1",0,52,48,45,45,27,36,19,0
"1419","HOXA3",0,50,0,0,44,0,50,35,0
"1420","IKZF2",0,21,53,10,47,24,45,47,11
"1421","JAZF1",0,48,51,53,48,0,48,35,0
"1422","KLF2",0,18,0,0,0,0,9,6,0
"1423","L3MBTL3",0,44,45,51,41,0,47,43,0
"1424","NPAS2",0,49,47,51,49,0,52,51,0
"1425","PAX5",0,5,0,0,0,0,0,3,0
"1426","SIM2",0,15,0,14,0,0,0,0,0
"1427","SOX4",0,21,13,0,13,0,21,28,0
"1428","TP63",0,6,0,0,0,0,0,0,0
"1429","ZNF730",0,8,0,0,0,0,0,0,0
"1430","ANKRD55",0,3,0,3,1,0,1,1,0
"1431","DENND5B",0,2,1,1,1,0,1,0,0
"1432","FBXL13",0,2,3,0,0,0,3,1,0
"1433","HIST1H2AC",0,4,4,7,3,4,5,6,0
"1434","TIMP1",0,4,3,3,4,4,1,2,0
"1435","CHD1",0,6,5,4,1,3,4,4,0
"1436","SDK1",0,6,0,3,1,5,3,2,0
"1437","FABP5",0,3,0,2,4,0,2,2,0
"1438","MYO18B",0,2,0,0,1,0,1,0,0
"1439","PALM2-AKAP2",0,4,3,1,2,3,3,4,0
"1440","PRG2",0,1,0,0,1,0,2,1,0
"1441","KSR2",0,1,0,0,0,0,1,2,0
"1442","MBD2",0,5,3,5,2,2,2,1,0
"1443","PHACTR4",0,2,0,3,4,2,1,2,0
"1444","APBA2",0,2,3,0,3,0,1,1,0
"1445","SCML1",0,6,2,1,2,2,4,2,0
"1446","USP45",0,2,0,3,1,0,1,2,0
"1447","CDH1",0,1,1,0,0,0,0,2,0
"1448","CEP112",0,2,3,2,1,0,0,1,0
"1449","IER5L",0,4,4,5,0,3,4,3,0
"1450","LRRC2",0,1,0,0,0,0,0,0,0
"1451","RASSF8",0,2,0,1,0,0,0,0,0
"1452","CASC15",0,5,1,1,0,5,4,6,2
"1453","KLF3-AS1",0,1,1,0,0,0,2,1,0
"1454","MYLIP",0,4,4,2,2,3,1,0,0
"1455","SGO2",0,2,1,1,3,1,4,0,1
"1456","TEX9",0,2,0,0,0,0,0,0,0
"1457","HIST1H2BG",0,2,1,1,1,2,2,2,0
"1458","REG4",0,0,0,0,0,0,0,1,0
"1459","SGPP2",0,1,2,0,1,0,1,2,0
"1460","ATP8B1",0,3,1,2,0,0,1,0,0
"1461","BIRC5",0,1,1,1,0,1,1,2,2
"1462","CCDC122",0,2,1,0,0,0,0,0,0
"1463","CENPI",0,4,1,0,4,0,5,3,0
"1464","FAM83D",0,2,1,0,0,2,3,0,0
"1465","GXYLT2",0,1,0,0,0,0,0,0,0
"1466","HPGDS",0,2,0,0,0,0,0,0,0
"1467","MT1E",0,1,0,0,0,0,0,0,0
"1468","TDRD12",0,2,0,0,0,0,0,1,0
"1469","ATP6V0A4",0,1,1,1,1,0,0,0,0
"1470","GRID2IP",0,3,3,0,3,0,3,0,0
"1471","GRIN2D",0,2,0,0,0,0,0,2,0
"1472","PARD3",0,1,0,1,1,0,0,5,0
"1473","SLC12A8",0,3,0,1,1,0,1,4,0
"1474","SLC43A2",0,1,0,0,1,0,1,3,0
"1475","ZSWIM5",0,5,0,2,0,0,2,0,0
"1476","HCN2",0,2,2,0,0,1,3,1,0
"1477","DNAJC6",0,1,0,1,0,0,0,0,0
"1478","KIF26B",0,2,1,0,1,0,1,1,0
"1479","SH3RF3",0,2,0,0,0,1,0,2,0
"1480","AFF3",0,2,1,0,2,0,0,3,0
"1481","CATSPERB",0,2,1,0,2,0,0,2,0
"1482","GPC3",0,1,0,0,0,0,0,0,0
"1483","MIR3681HG",0,1,0,1,0,0,1,2,0
"1484","SNAP25",0,1,0,1,1,0,1,0,0
"1485","ADAM12",0,1,2,5,2,0,2,0,0
"1486","CLCN1",0,1,0,0,0,0,0,0,0
"1487","FXYD7",0,1,0,0,0,0,1,1,0
"1488","SDK2",0,4,0,0,1,0,0,2,0
"1489","STC1",0,1,0,0,0,0,0,1,0
"1490","ZNF532",0,1,1,0,2,0,0,0,0
"1491","ZNF763",0,1,1,1,0,0,4,0,0
"1492","DRD3",0,2,0,0,0,0,0,0,0
"1493","IL17RB",0,4,0,0,0,0,5,0,0
"1494","SLC13A4",0,3,0,0,0,0,1,0,0
"1495","SPIRE1",0,5,3,3,2,0,1,1,0
"1496","ADARB2",0,3,0,1,0,0,2,0,0
"1497","DAPK1",0,3,1,0,0,0,0,1,0
"1498","LINC00877",0,3,0,1,0,2,1,1,0
"1499","MAGI2",0,2,0,1,0,0,0,0,0
"1500","PIK3R6",0,1,2,1,3,0,0,1,0
"1501","RND1",0,1,1,0,1,0,0,0,0
"1502","USP6NL",0,3,0,1,0,0,0,1,0
"1503","ARHGAP6",0,2,0,3,0,0,1,0,0
"1504","HSPA12A",0,2,0,0,0,0,0,0,0
"1505","IL26",0,4,4,5,4,5,1,0,0
"1506","MAPRE2",0,7,6,4,5,0,4,1,0
"1507","PLVAP",0,1,2,0,0,0,0,0,0
"1508","PSD3",0,2,1,1,0,0,0,0,0
"1509","TMEM45B",0,1,2,0,0,0,0,0,0
"1510","CARMIL1",0,5,4,3,4,0,2,8,0
"1511","ELP4",0,2,2,2,2,0,4,0,0
"1512","P2RY14",0,2,2,2,1,0,2,1,0
"1513","TRPC1",0,3,0,6,1,2,4,0,0
"1514","LINC00511",0,2,3,4,0,0,1,1,0
"1515","ADGRA3",0,1,0,0,0,0,3,4,0
"1516","PSTPIP2",0,3,3,1,0,3,2,3,0
"1517","RTN4IP1",0,1,0,0,1,0,1,0,0
"1518","ACVR2A",0,3,2,3,0,0,0,0,0
"1519","JAM3",0,3,1,1,1,0,1,0,0
"1520","KLHL29",0,4,1,1,0,0,2,1,0
"1521","WNT9A",0,1,1,0,0,0,1,0,0
"1522","CIT",0,2,0,1,1,0,1,0,0
"1523","CMTM8",0,3,2,3,5,3,2,3,0
"1524","ALDH1A2",0,2,1,0,2,0,0,0,0
"1525","CCDC13",0,1,0,1,1,0,0,0,0
"1526","EML5",0,2,0,0,1,0,0,0,0
"1527","NBEA",0,3,0,1,0,0,0,5,0
"1528","NCR2",0,1,0,0,1,0,0,0,0
"1529","NHS",0,2,0,0,2,0,0,0,0
"1530","SIRPD",0,1,1,0,0,0,1,0,0
"1531","DISP1",0,0,0,0,0,0,2,1,0
"1532","DLL1",0,1,1,0,0,0,0,0,0
"1533","FCGBP",0,1,2,0,0,0,0,1,0
"1534","GNAL",0,1,1,1,0,0,0,0,0
"1535","IFIT2",0,1,1,0,1,0,3,1,0
"1536","IFIT3",0,1,1,0,0,0,2,0,0
"1537","IGFALS",0,1,0,0,0,0,2,0,0
"1538","IQCA1",0,1,0,0,0,0,0,0,0
"1539","KIAA1211",0,1,0,0,0,0,0,1,0
"1540","OSBPL6",0,1,0,0,0,0,0,0,0
"1541","SLC7A11",0,1,0,0,0,0,0,0,0
"1542","ST8SIA1",0,2,4,2,0,0,4,2,0
"1543","APBB2",0,4,0,0,1,0,0,0,0
"1544","ACVR1C",0,2,1,2,1,0,1,3,0
"1545","CCL22",0,1,0,0,2,0,0,2,0
"1546","MAP7D2",0,1,0,1,2,0,1,0,0
"1547","DEPDC1B",0,3,1,1,3,0,5,1,1
"1548","MT3",0,2,1,0,0,0,2,0,0
"1549","FAM90A1",0,1,0,0,0,0,0,1,0
"1550","RALGPS1",0,2,0,0,1,0,1,0,0
"1551","RAMP1",0,1,2,1,3,0,1,2,0
"1552","ADD3-AS1",0,1,0,0,0,0,0,0,0
"1553","RCBTB2",0,3,1,3,3,0,2,0,0
"1554","ADAMTS6",0,1,1,2,2,0,2,1,0
"1555","LGR4",0,3,0,0,2,0,0,1,0
"1556","METTL24",0,1,0,0,0,0,0,0,0
"1557","REPS2",0,1,0,2,0,0,0,0,0
"1558","ZNF69",0,1,1,0,0,0,1,1,0
"1559","CCDC30",0,2,0,2,1,0,1,0,0
"1560","DIAPH2",0,5,1,2,6,0,3,0,0
"1561","FSD1L",0,1,0,3,0,0,0,0,0
"1562","IL24",0,2,1,1,0,4,0,1,0
"1563","NTRK3",0,1,0,0,0,3,0,0,0
"1564","PRELID2",0,1,0,0,1,0,0,0,0
"1565","AREG",0,1,2,1,1,0,0,1,0
"1566","C10orf105",0,1,0,0,0,0,0,0,0
"1567","KIAA1328",0,3,3,2,1,2,3,1,0
"1568","LINC00589",0,1,0,0,0,0,0,0,0
"1569","LINC01234",0,1,0,0,1,0,0,0,0
"1570","MCF2",0,1,0,0,0,0,0,0,0
"1571","CD8A",0,1,3,0,1,0,2,0,0
